id;sentence;phrase;target
659;Машина остановилась на красный свет светофора;музыкальный жанр;
660;В лесу пахло хвоей и свежестью после дождя;запах сосны;хвоей
661;Он ас в своем деле, лучший программист в компании;высококлассный специалист;ас
662;Мы пошли в кино на новый блокбастер;кассовый фильм;блокбастер
663;Эта новость быстро облетела весь инет;всемирная паутина;инет
664;Он работает пожарным и спасает людей;борец с огнем;пожарным
665;У него большая коллекция марок со всего света;филателистические знаки;марок
666;Эта кофейня славится своим ароматным эспрессо;крепкий кофе;эспрессо
667;На завтрак я предпочитаю овсянку или мюсли;каша из овса;овсянку
668;Он служил в армии в десантных войсках;воздушный десант;десантных
669;Ее голос звучал нежно, как флейта;музыкальный инструмент;флейта
670;Старый мост через реку нуждался в ремонте;переправа;мост
671;Дети с восторгом смотрели на фейерверк в ночном небе;пиротехническое шоу;фейерверк
672;Он написал заявление об уходе по собственному желанию;официальный документ;заявление
673;В аптеке можно купить лекарства и витамины;медицинские препараты;лекарства
674;Эта скульптура была создана из мрамора;произведение искусства;скульптура
675;Он знаменитый актер, снявшийся во многих фильмах;кинозвезда;актер
676;На столе стоял кувшин с прохладным лимонадом;освежающий напиток;лимонадом
677;Наблюдать закат на море – это прекрасно;вечерняя заря;закат
678;В библиотеке царила тишина, все читали книги;хранилище книг;библиотеке
679;Он увлекается альпинизмом и покоряет горные пики;восхождение на горы;альпинизмом
680;Девочка рисовала цветы в своем альбоме;строительный материал;
681;Поезд прибыл на вокзал точно по расписанию;кулинарный рецепт;
682;Мы слушали пение птиц в утреннем лесу;деловой костюм;
683;Он открыл окно, чтобы проветрить комнату;историческое событие;
684;Эта дорога ведет прямо к озеру;химический элемент;
685;Его квартира находится на последнем этаже небоскреба;очень высокое здание;небоскреба
686;На конференции обсуждались актуальные проблемы экологии;научное собрание;конференции
687;Этот рецепт пирога достался мне от бабули;бабушка;бабули
688;Он известный ученый, лауреат Нобелевской премии;исследователь;ученый
689;Малыш смешно ковылял по комнате;маленький ребенок;Малыш
690;Эта мелодия напоминает мне о детстве;музыкальная композиция;мелодия
691;Он опытный хирург, спасший много жизней;операционный врач;хирург
692;В порту стояли большие корабли и маленькие яхты;морское судно;корабли
693;На вершине холма открывался прекрасный вид на город;возвышенность;холма
694;Этот старинный замок хранит много тайн и легенд;древнее строение;замок
695;Его выступление вызвало бурю аплодисментов;громкие рукоплескания;аплодисментов
696;Собака громко лаяла на незнакомца во дворе;домашнее животное;Собака
697;В магазине стройматериалов он купил гвозди и молоток;крепежные изделия;гвозди
698;По телевизору показывали новости о текущих событиях;информационная программа;новости
699;Он выпил стакан воды, чтобы утолить жажду;жидкость;воды
700;Мой кот очень любит спать на подоконнике;домашнее животное;кот
701;Завтра ожидается сильный ливень с грозой;осадки;ливень
702;Он быстро пробежал стометровку на стадионе;спортивный бег;стометровку
703;Купи, пожалуйста, буханку свежего хлеба;хлебобулочное изделие;хлеба
704;Эта книга рассказывает о невероятных приключениях;автомобиль;
705;Мы поехали на море в отпуск;путешествие;поехали
706;В лесу мы видели много грибов и ягод;лесные ягоды;ягод
707;Он работает программистом в крупной IT-компании;разработчик ПО;программистом
708;Новый смартфон обладает отличной камерой;мобильный телефон;смартфон
709;Вечером я люблю пить чай с лимоном;горячий напиток;чай
710;Солнце ярко светило, и птицы пели;небесное светило;Солнце
711;Дети весело играли на детской площадке;ребята;Дети
712;Эта машина стоит очень дорого;авто;машина
713;Я читаю интересную статью о космосе;вселенная;космосе
714;Зимой часто идет снег и бывает холодно;зимние осадки;снег
715;Бабушка испекла вкусный пирог с яблоками;домашняя выпечка;пирог
716;Футбольный матч закончился ничьей;игра;матч
717;Он получил письмо от старого друга;послание;письмо
718;В магазине большой выбор свежих овощей;цитрусовые;
719;Строители возводят новый жилой комплекс;новостройка;комплекс
720;Музыкант виртуозно играл на скрипке;струнный инструмент;скрипке
721;Полет на самолете был комфортным и быстрым;авиаперелет;Полет
722;Ученик старательно выполнял домашнее задание;школьник;Ученик
723;Река течет медленно, извиваясь среди полей;водный поток;Река
724;Художник нарисовал прекрасный пейзаж;картина;пейзаж
725;На обед у нас была вкусная картошка с мясом;клубнеплод;картошка
726;Он купил себе новый комп для игр;компьютер;комп
727;Вчера мы ходили в кино на новый боевик;экшн фильм;боевик
728;Мой брат работает доктором в больнице;лекарь;доктором
729;На улице сильный ветер, возьми шапку;головной убор;шапку
730;Эта программа помогает редактировать фотки;фотографии;фотки
731;Он мечтает о кругосветном путешествии;вояж;путешествии
732;Город готовится к празднованию Нового Года;торжество;празднованию
733;Собака радостно виляла хвостом, встречая хозяина;верный друг;Собака
734;Я предпочитаю пить зеленый чай без сахара;растительный напиток;чай
735;Она написала замечательное стихотворение о любви;лирика;стихотворение
736;Фермер собрал богатый урожай пшеницы;злаки;пшеницы
737;По телевизору показывали интересный докфильм о природе;научно-популярное кино;докфильм
738;Для ремонта квартиры нужны стройматериалы;ремонтные материалы;стройматериалы
739;Альпинисты покорили высокую гору;горная вершина;гору
740;В парке много аттракционов для детей;карусели;аттракционов
741;Эта ткань очень мягкая и приятная на ощупь;текстиль;ткань
742;Он отличный водила, всегда ездит аккуратно;автомобилист;водила
743;Студенты сдавали сложный экзамен по математике;проверка знаний;экзамен
744;На конференции обсуждались актуальные вопросы науки;симпозиум;конференции
745;Его доклад был посвящен проблемам экологии;публичное выступление;доклад
746;Море было спокойным, и вода прозрачной;акватория;Море
747;Пожарные быстро потушили возгорание в здании;пламя;возгорание
748;Завтрак был легким: йогурт и фрукты;утренняя еда;Завтрак
749;Он открыл свой маленький бизнес в прошлом году;свое дело;бизнес
750;Ребенок увлеченно собирал конструктор лего;развивающая игрушка;конструктор
751;В библиотеке царила тишина, все читали книги;читальный зал;библиотеке
752;Его новая тачка выглядит очень стильно;легковушка;тачка
753;Официант принес нам счет после ужина;работник ресторана;Официант
754;На небе не было ни облачка, светило солнце;облака;облачка
755;Она превосходно готовит итальянскую пасту;макаронные изделия;пасту
756;Этот цветок имеет очень нежный аромат;декоративное растение;цветок
757;Атлет установил новый мировой рекорд;чемпион;Атлет
758;Журналист написал статью о политических событиях;корреспондент;Журналист
759;Мы наблюдали за полетом птиц на закате;летающие создания;птиц
760;Его квартира находится в центре города;апартаменты;квартира
761;Этот фильм получил несколько престижных наград;кинокартина;фильм
762;На столе стояла ваза с красивыми розами;сосуд;ваза
763;Деревня расположена далеко от городской суеты;сельское поселение;Деревня
764;Учитель объяснял новый материал очень понятно;наставник;Учитель
765;Он слушает музыку в наушниках по дороге на работу;мелодии;музыку
766;Здание театра поражает своей архитектурой;архитектурный объект;Здание
767;На полке стояли томики классической литературы;литературные произведения;томики
768;Во время грозы сверкала молния и гремел гром;атмосферное явление;грозы
769;Он занимается спортом, чтобы поддерживать форму;физкультура;спортом
770;Этот суп слишком соленый на мой вкус;жидкое блюдо;суп
771;Медсестра сделала укол пациенту;медик;Медсестра
772;На ферме разводят коров, овец и кур;крупный рогатый скот;коров
773;Он получил в подарок навороченный гаджет;современное устройство;гаджет
774;Пустыня простирается на многие километры;засушливая зона;Пустыня
775;Я отправил бандероль своему другу;почтовое отправление;бандероль
776;В аквариуме плавали разноцветные рыбки;домашние питомцы;рыбки
777;На встречу выпускников пришло много народу;толпа;народу
778;Режиссер снял фильм, ставший культовым;кинематографист;Режиссер
779;Эта мелодия вызывает у меня ностальгию;музыка;мелодия
780;Из окна открывался великолепный вид на горы;панорама;вид
781;Преступника задержала полиция на месте;правоохранители;полиция
782;В салате были помидоры, огурцы и зелень;красный овощ;помидоры
783;Мой начальник сегодня в хорошем настроении;руководитель;начальник
784;Она носит элегантное платье из шелка;женская одежда;платье
785;Этот кофейный напиток очень бодрит по утрам;эспрессо;кофейный напиток
786;На поляне росли яркие полевые цветы;луговые растения;цветы
787;Его слова прозвучали как гром среди ясного неба;шокирующая новость;гром
788;Строительство моста займет несколько лет;переправа;моста
789;Сок из свежих апельсинов очень полезен;фруктовый напиток;Сок
790;У нее очаровательная улыбка и добрые глаза;мимика;улыбка
791;Эта задачка по физике оказалась довольно трудной;головоломка;задачка
792;На выставке были представлены картины современных художников;живопись;картины
793;Он рассказал смешной анекдот, и все засмеялись;шутка;анекдот
794;Зимний вечер располагает к чтению книг у камина;очаг;камина
795;Электричка до города отправляется через час;пригородный поезд;Электричка
796;Врач прописал пациенту лекарство от кашля;медикаменты;лекарство
797;На столе лежали карандаши, ручки и тетрадь;инструмент для письма;ручки
798;Погода сегодня чудесная, солнечно и тепло;атмосферные условия;Погода
799;Этот университет славится своими выпускниками;высшее учебное заведение;университет
800;Сегодня прекрасный денек, солнышко светит ярко;солнце;солнышко
801;Мой пёс очень любит играть с мячиком во дворе;собака;пёс
802;Я купил новый мобильник вчера вечером;сотовый телефон;мобильник
803;Эта тачка просто огонь, очень быстрая;автомобиль;тачка
804;Кот спит на диване целый день;гулять;
805;Мы поехали на электричке в соседний город;поезд;электричке
806;Нужно приготовить ужин для всей семьи;еда;ужин
807;Ребенок плачет, потому что хочет есть;малыш;ребенок
808;Он работает доктором в городской больнице;врач;доктором
809;Эта книга очень занимательная, прочитал за один вечер;интересная;занимательная
810;Скоро наступят каникулы, и мы поедем на море;отдых;каникулы
811;Я хочу пить, дай мне воды;жидкость;воды
812;Компьютер завис, нужно перезагрузить;телефон;
813;У него отличные отметки в школе;оценки;отметки
814;Мы живем в огромном мегаполисе;большой город;мегаполисе
815;Он известный киноактер, снялся во многих фильмах;артист;киноактер
816;Этот фильм вызвал у меня сильные эмоции;чувства;эмоции
817;На улице сильный ливень, возьми зонт;дождь;ливень
818;В холодильнике есть свежие овощи и фрукты;плоды с грядки;овощи
819;Мой дед был отважным воином;солдат;воином
820;Бабуля испекла вкусный пирог с яблоками;бабушка;бабуля
821;В лесу много грибов и ягод;боровики;грибов
822;Он получил письмо от старого приятеля;друг;приятеля
823;Я учусь в университете на программиста;ВУЗ;университете
824;Сегодня я видел красивый закат;обед;
825;Этот котяра постоянно требует внимания;кот;котяра
826;Мы отправились в турпоход по горам Кавказа;путешествие;турпоход
827;На столе стояла ваза с алыми розами;цветы;розами
828;Он превосходный специалист в своей области;мастер;специалист
829;Необходимо починить протекающий кран на кухне;исправить;починить
830;Детишки весело играли на детской площадке;ребята;детишки
831;Старый домишко стоял на окраине деревни;небольшой дом;домишко
832;Его выступление было весьма впечатляющим;очень;весьма
833;Посмотри, какой огромный пёс бежит по улице!;большая собака;огромный пёс
834;Я предпочитаю пить зеленый чай по утрам;напиток;чай
835;Она работает главбухом на крупном предприятии;главный бухгалтер;главбухом
836;Этот гаджет совершенно бесполезен для меня;устройство;гаджет
837;Мы собираемся в кинотеатр на новый блокбастер;фильм;блокбастер
838;Он получил гонорар за свою последнюю книгу;вознаграждение;гонорар
839;На вершине горы лежал вечный снег;пик;вершине
840;Мой братишка скоро пойдет в первый класс;младший брат;братишка
841;Он прославился как выдающийся ученый-физик;исследователь;ученый-физик
842;Эта мелодия звучит очень печально;грустно;печально
843;В магазине огромный выбор разнообразных товаров;ассортимент;выбор
844;Пожарники быстро прибыли на место происшествия;пожарные;пожарники
845;Он живет в маленькой избушке в лесу;жилище;избушке
846;Ее наряд был просто сногсшибательным;одежда;наряд
847;Нужно срочно вызвать неотложку;скорая помощь;неотложку
848;Этот спортсмен демонстрирует великолепные результаты;атлет;спортсмен
849;Перед грозой небо стало багровым;красным;багровым
850;Мы остановились перекусить в придорожном кабаке;закусочная;кабаке
851;Его речь была краткой, но весьма содержательной;лаконичной;краткой
852;В зоопарке мы видели забавного мартышку;обезьяна;мартышку
853;Этот старинный фолиант хранит много тайн;большая книга;фолиант
854;Он работает шоферюгой на старом грузовике;водитель;шоферюгой
855;В саду расцвели прекрасные тюльпаны;компьютер;
856;Он рассказал смешную байку из своей жизни;история;байку
857;Нам предстоит долгий путь через пустыню;дорога;путь
858;Этот парень настоящий сорвиголова;смельчак;сорвиголова
859;Она купила себе шикарное авто;машина;авто
860;В университете я изучаю инглиш;английский язык;инглиш
861;По телику показывают интересный сериал;телевизор;телику
862;Я обожаю кушать мороженку в жаркий день;мороженое;мороженку
863;Он служит в ВДВ уже несколько лет;Воздушно-десантные войска;ВДВ
864;Мы едем отдыхать в Крым на следующей неделе;полуостров;Крым
865;Этот чел какой-то странный;человек;чел
866;Нужно заскочить в магаз за хлебом;магазин;магаз
867;Мой препод по математике очень строгий;преподаватель;препод
868;Она получила красненький диплом;диплом с отличием;красненький диплом
869;Вчера была крутая туса у друзей;вечеринка;туса
870;Нам нужно обсудить этот вопр;вопрос;вопр
871;Он всегда носит с собой свой ноут;ноутбук;ноут
872;Эта общага находится недалеко от универа;общежитие;общага
873;Я скачал новый кинчик посмотреть вечером;кинофильм;кинчик
874;Мой батя работает на заводе;отец;батя
875;На столе лежит книга и ручка;танцевать;
876;Эта речушка впадает в большое озеро;маленькая река;речушка
877;Он живет в огромном особняке за городом;богатый дом;особняке
878;Погода сегодня мерзопакостная, сильный ветер;плохая;мерзопакостная
879;Этот актеришка сыграл свою роль неубедительно;плохой актер;актеришка
880;Она надела свои любимые джинсы и кеды;обувь;кеды
881;Он работает в НИИ РАН;научно-исследовательский институт;НИИ
882;Я отправил ему сообщение в мессенджере;программа для сообщений;мессенджере
883;Этот сок сделан из натуральных фруктиков;фрукты;фруктиков
884;Мой кореш всегда поможет в трудную минуту;товарищ;кореш
885;Нужно заправить тачку бензином;автомобиль;тачку
886;Он любит слушать музон на полной громкости;музыка;музон
887;В этом лесу водятся волки и лисицы;хищник;волки
888;Его квартира находится в центре МСК;Москва;МСК
889;Мы купили арбуз на базаре, он очень сладкий;рынок;базаре
890;Эта картина - настоящий шедевр искусства;великое произведение;шедевр
891;Он постоянно сидит в своем компе;компьютер;компе
892;Я люблю читать книги перед сном;спорт;
893;Они отправились в кругосветное плавание;путешествие по морю;плавание
894;Этот парень - мой однокашник из универа;однокурсник;однокашник
895;На совещании обсуждали важные задачи;деловые вопросы;задачи
896;Его выступление было фурором;большой успех;фурором
897;У меня есть клевый велик для прогулок;велосипед;велик
898;Он известный блогер на Ютубе;видеохостинг;Ютубе
899;Завтра будет солнечно и тепло;холод;
900;маленький котенок играет с мячиком;кот;котенок
901;новые кроссовки очень удобные;обувь;кроссовки
902;я читаю интересную книжку;книга;книжку
903;мы поедем в спб на каникулы;санкт-петербург;спб
904;сегодня очень солнечно и тепло;хорошая погода;солнечно
905;вкусный борщ сварила мама;суп;борщ
906;он купил новый ноут для работы;ноутбук;ноут
907;дети смеялись очень громко;ребенок;дети
908;красивый закат был виден на море;заход солнца;закат
909;я забыл свой телефон дома;мобильник;телефон
910;на столе стояла ваза с цветами;цветок;цветами
911;собака весело виляла хвостом;пес;собака
912;старенький дедушка сидел на скамейке;старик;дедушка
913;она надела красное платьице;платье;платьице
914;в лесу много грибов и ягод;гриб;грибов
915;мой братишка пошел в первый класс;брат;братишка
916;сестренка любит рисовать картинки;сестра;сестренка
917;мы смотрели увлекательный кинчик;фильм;кинчик
918;он работает доктором в больнице;врач;доктором
919;яркое солнышко светило весь день;солнце;солнышко
920;папа починил сломанный велик;велосипед;велик
921;бабуля испекла вкусные пирожки;бабушка;бабуля
922;я пью горячий чаек с лимоном;чай;чаек
923;в холодильнике есть свежее молочко;молоко;молочко
924;машина едет по широкой дороге;авто;машина
925;я купил билеты в кинотеатр;кино;кинотеатр
926;скоро наступит долгожданный отпуск;каникулы;отпуск
927;в универе задали много домашки;университет;универе
928;он получил хорошую отметку по математике;оценка;отметку
929;я встретил своего старого друга;товарищ;друга
930;на улице идет сильный дождь;солнце;
931;я читаю книгу о приключениях;музыка;
932;она готовит вкусный ужин;спорт;
933;мы едем на море отдыхать;горы;
934;в саду растут яблони и груши;овощи;
935;он посетил Москву столицу России;главный город;Москву
936;он отличный специалист в своей области;профессионал;специалист
937;это здание очень высокое;строение;здание
938;река течет быстро и шумно;водоем;река
939;мы купили новый телек в гостиную;телевизор;телек
940;маленькие детишки играют в песочнице;дети;детишки
941;в холодильнике есть мороженка;мороженое;мороженка
942;мой старший братан работает инженером;брат;братан
943;он слушает громкую музяку в наушниках;музыка;музяку
944;наша команда одержала победу в соревновании;выигрыш;победу
945;я еду в офис на своей тачке;автомобиль;тачке
946;преподаватель объяснил сложную тему;учитель;преподаватель
947;мы собираемся на пикничок в лес;пикник;пикничок
948;скоро приедет моя любимая тётушка;тётя;тётушка
949;этот фильм получил много наград;кинокартина;фильм
950;я люблю пить кофеек по утрам;кофе;кофеек
951;мой песик очень любит гулять;собака;песик
952;мы живем в большом домище на окраине;дом;домище
953;спортсмен получил золотую медальку;медаль;медальку
954;на днюху мне подарили новый смартфон;день рождения;днюху
955;он пошел в магаз за хлебом;магазин;магаз
956;сегодня будет крутая туса у друзей;вечеринка;туса
957;я скачал новую игруху на комп;игра;игруху
958;в кабаке было много народу и шумно;ресторан;кабаке
959;он рассказал смешной анек на вечеринке;анекдот;анек
960;завтра я иду на концерт любимой группы;театр;
961;она читает статью про экологию в журнале;кулинария;
962;мы обсуждали последние новости политики вчера;искусство;
963;он купил свежие овощи на рынке для салата;фрукты;
964;я пишу письмо своему другу за границу;телефонный звонок;
965;мы планируем поездку на байкал летом;великое озеро;байкал
966;вчера я смотрел матч спартака по телевизору;футбольный клуб;спартака
967;он читает известный роман война и мир;произведение толстого;роман
968;наша компания выпустила новый гаджет на рынок;устройство;гаджет
969;он работает в айти компании уже пять лет;информационные технологии;айти
970;мой универ находится в центре города;учебное заведение;универ
971;мы заказали пиццу на вечер с друзьями;итальянское блюдо;пиццу
972;он занимается спортом каждый день для здоровья;физическая активность;спортом
973;я купил акции газпрома на бирже;ценные бумаги;акции
974;она посмотрела новый видос на ютубе;видеоролик;видос
975;этот чел очень умный и начитанный;человек;чел
976;мы едем на дачу на все выходные отдохнуть;загородный дом;дачу
977;он получил зарплату на карту вовремя;денежное вознаграждение;зарплату
978;в городе построили новый мост через реку;инженерное сооружение;мост
979;она любит слушать классическую музыку в тишине;мелодии;музыку
980;в лесу поют птички очень красиво по утрам;пернатые создания;птички
981;он ест вкусный бутер с колбасой на завтрак;бутерброд;бутер
982;это было обидное поражение для нашей команды;проигрыш;поражение
983;он купил подарок для своей девушки на праздник;презент;подарок
984;я отправил важное сообщение другу по почте;электронное письмо;сообщение
985;вчера была сильная гроза с молниями и градом;непогода;гроза
986;он известный актер театра и кино в стране;артист;актер
987;мы гуляли по центральной площади города вечером;главное место;площади
988;она написала заявление на отпуск на две недели;официальный документ;заявление
989;ребенок получил новую игрушку в подарок от родителей;детская забава;игрушку
990;полицейский остановил нарушителя на дороге за превышение;сотрудник полиции;полицейский
991;вратарь спас команду от верного гола в матче;голкипер;вратарь
992;в магазине продаются свежие фруктики и ягоды;фрукты;фруктики
993;он живет в небольшой деревушке у реки с семьей;деревня;деревушке
994;мы смотрели интересный документальный фильмец о природе;фильм;фильмец
995;на столе стоял кувшин с водичкой для питья;вода;водичкой
996;малыш радостно смеялся новой погремушке;младенец;малыш
997;этот регион славится своими винами и кухней;область;регион
998;он починил свой старый мобильник в мастерской;сотовый телефон;мобильник
999;она испекла вкусный тортик на праздник для гостей;торт;тортик
